ières,Type,Teneur en alcool,Brasserie,brasserie,localité,province,Principales bières,Production annuelle en hl,Géolocalisation
3 Schténg,Fermentation haute,6 %,Brasserie Grain d'Orge,Brasserie Grain d'Orge,Plombières,Liège,"Brice, Joup",1 360,"50° 43′ 26,28″ N, 5° 55′ 10,46″ E"
IV Saison,Saison,"6,5 %",Brasserie de Jandrain-Jandrenouille,Brasserie de Jandrain-Jandrenouille,Orp-Jauche,Brabant wallon,"IV Saison, V Cense",,"50° 40′ 41,51″ N, 4° 58′ 38,98″ E"
V Cense,"Fermentation haute, Spéciale","7,5 %",Brasserie de Jandrain-Jandrenouille,Brasserie de Jandrain-Jandrenouille,Orp-Jauche,Brabant wallon,"IV Saison, V Cense",,"50° 40′ 41,51″ N, 4° 58′ 38,98″ E"
VI Wheat,"Fermentation haute, Blanche",6 %,Brasserie de Jandrain-Jandrenouille,Brasserie de Jandrain-Jandrenouille,Orp-Jauche,Brabant wallon,"IV Saison, V Cense",,"50° 40′ 41,51″ N, 4° 58′ 38,98″ E"
26.2 M,Blonde,"4,8 %",Brasserie L'Échappée Belle,Brasserie L'Échappée Belle,Villers-la-Ville,Brabant wallon,2016,,
28 Triple,"Blonde,Triple",9 %,Brasserie De Proef pour Caulier Développement,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
La 44 Blanche,"Fermentation haute, Blanche","5,5 %",Brasserie de La Gleize,Brasserie de La Gleize,Stoumont,Liège,44,,"50° 24′ 45″ N, 5° 50′ 47″ E"
La 44 Blonde,Blonde,"5,5 %",Brasserie de La Gleize,Brasserie de La Gleize,Stoumont,Liège,44,,"50° 24′ 45″ N, 5° 50′ 47″ E"
365 Pils Bière,Blonde,"4,7 %",Brasserie Haacht,Brasserie Haacht,Boortmeerbeek,Brabant flamand,"Charles Quint, Eupener Bier, Primus, Coq Hardi; Tongerlo",,
421,Blonde,"4,2 %",Brasserie Millevertus,Brasserie Millevertus,Tintigny,Luxembourg,"Douce Vertus, Bella Mère, Mère Vertus",,"49° 41′ 43,01″ N, 5° 29′ 32,04″ E"
La 1815,Ambrée,7 %,Brasserie des Fagnes,Brasserie des Fagnes,Couvin,Namur,Super des Fagnes,,"50° 05′ 01,1″ N, 4° 31′ 23,95″ E"
Aardmonnik,Vieille brune,8 %,De Struise Brouwers,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Aarschotse Bruine,Brune,6 %,Stadsbrouwerij Aarschot,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Abbaye d'Aulne Blonde des Pères 6,"Abbaye, Blonde",6 %,Brasserie du Val de Sambre,Brasserie du Val de Sambre,Thuin,Hainaut,"Abbaye d'Aulne, Blanche de Charleroi, Heylissem",,"50° 21′ 55,54″ N, 4° 19′ 52,82″ E"
